home-1,2025-12-19T21:08:52.423142Z,22.1,59,1008,7.2
home-1,2025-12-19T21:08:57.427014Z,26,73,1008,3.2
home-1,2025-12-19T21:09:02.432675Z,22.2,50,1015,7.1
home-1,2025-12-19T21:09:07.438382Z,32.3,64,1025,5.5
home-1,2025-12-19T21:09:12.444266Z,21.9,53,990,0.8
home-1,2025-12-19T21:09:17.449876Z,35,70,1020,8.8
home-1,2025-12-19T21:09:22.453215Z,26.6,57,1006,0.7
home-1,2025-12-19T21:09:27.458856Z,26.4,75,1005,7
home-1,2025-12-19T21:09:32.459558Z,20.5,63,997,4.5
home-1,2025-12-19T21:09:37.465281Z,26.5,55,1002,5.1
home-1,2025-12-19T21:09:42.467275Z,20.4,49,1011,9.5
home-1,2025-12-19T21:09:47.472907Z,20.7,52,1006,9.1
home-1,2025-12-19T21:09:52.478524Z,21.7,65,993,8.1
home-1,2025-12-19T21:09:57.484144Z,27.8,59,1006,8.6
home-1,2025-12-19T21:10:02.489786Z,28.1,76,1021,0.9
home-1,2025-12-19T21:10:07.495401Z,33.4,80,1018,9.2
home-1,2025-12-19T21:10:12.501234Z,23.3,72,1011,3.9
home-1,2025-12-19T21:10:17.506936Z,25.8,56,1025,1.6
home-1,2025-12-19T21:10:22.512599Z,29.8,53,1026,0.6
home-1,2025-12-19T21:10:27.516597Z,28.9,73,997,7.8
home-1,2025-12-19T21:10:32.520388Z,33.9,59,991,1.1
home-1,2025-12-19T21:10:37.526338Z,26.3,75,1004,6
home-1,2025-12-19T21:10:42.531974Z,26.5,62,997,4.1
home-1,2025-12-19T21:10:47.535605Z,27.5,75,998,4.4
home-1,2025-12-19T21:10:52.541229Z,29.3,48,1011,4
home-1,2025-12-19T21:10:57.546860Z,28.1,64,1002,9.6
home-1,2025-12-19T21:11:02.552487Z,27,46,1029,3.1
home-1,2025-12-19T21:11:07.553267Z,26.7,50,1000,6.8
home-1,2025-12-19T21:11:12.558989Z,28.4,64,1012,5
home-1,2025-12-19T21:11:17.561587Z,29.4,61,999,8.1
home-1,2025-12-19T21:11:22.567171Z,28.3,68,1019,2.9
home-1,2025-12-19T21:11:27.572803Z,20.2,63,1007,3.5
home-1,2025-12-19T21:11:32.578549Z,21.7,77,990,2.2
home-1,2025-12-19T21:11:37.579730Z,27.6,43,1010,9.7
home-1,2025-12-19T21:11:42.584944Z,27.3,73,1016,5.3
home-1,2025-12-19T21:11:47.590644Z,31.5,75,1019,6.6
home-1,2025-12-19T21:11:52.596481Z,28.2,59,1021,2.2
home-1,2025-12-19T21:11:57.602196Z,26.3,67,994,8.4
home-1,2025-12-19T21:12:02.607836Z,21.6,72,997,0
home-1,2025-12-19T21:12:07.613508Z,22.2,60,1020,5.4
home-1,2025-12-19T21:12:12.619134Z,33.3,79,1004,1.5
home-1,2025-12-19T21:12:17.624953Z,26.4,43,994,9.7
home-1,2025-12-19T21:12:22.630551Z,33.3,52,1013,6.9
home-1,2025-12-19T21:12:27.636501Z,23.7,73,1004,6.7
home-1,2025-12-19T21:12:32.642132Z,22.1,65,1008,6
home-1,2025-12-19T21:12:37.647762Z,34.4,80,992,6.4
home-1,2025-12-19T21:12:42.653696Z,34.9,53,999,8.2
home-1,2025-12-19T21:12:47.659528Z,33,53,998,9
home-1,2025-12-19T21:12:52.665432Z,25.6,58,1004,8
home-1,2025-12-19T21:12:57.671040Z,28,58,1000,6.6
home-1,2025-12-19T21:13:02.676685Z,28.6,43,1023,8.6
home-1,2025-12-19T21:13:07.682407Z,32.9,44,997,0.3
home-1,2025-12-19T21:13:12.685227Z,34.7,65,1024,2.8
home-1,2025-12-19T21:13:17.691185Z,24.5,54,1023,7.1
